annee avant retraite,fond1,fond2,fond3,fond4,fond5,fond6
25,47%,10%,43%,0%,0%,0%
24,47%,10%,43%,0%,0%,0%
23,47%,10%,43%,0%,0%,0%
22,47%,10%,43%,0%,0%,0%
21,47%,10%,43%,0%,0%,0%
20,47%,10%,43%,0%,0%,0%
19,47%,10%,42%,0%,1%,0%
18,47%,10%,41%,0%,2%,0%
17,46%,10%,40%,0%,4%,0%
16,46%,10%,38%,0%,6%,0%
15,46%,10%,36%,0%,8%,0%
14,46%,10%,34%,0%,10%,0%
13,46%,9%,32%,0%,13%,0%
12,46%,8%,30%,0%,16%,0%
11,44%,8%,30%,0%,18%,0%
10,42%,7%,30%,0%,21%,0%
9,42%,6%,29%,0%,23%,0%
8,40%,5%,29%,0%,26%,0%
7,38%,4%,28%,0%,29%,1%
6,33%,3%,30%,0%,32%,2%
5,27%,2%,31%,0%,33%,7%
4,24%,1%,28%,0%,33%,14%
3,19%,0%,26%,0%,33%,22%
2,14%,0%,21%,0%,32%,33%
1,7%,0%,5%,0%,25%,63%
0,0%,0%,0%,0%,0%,100%
