annee avant retraite,fond1,fond2,fond3,fond4,fond5,fond6
25,26%,10%,63%,0%,1%,0%
24,26%,10%,62%,0%,2%,0%
23,26%,10%,61%,0%,3%,0%
22,26%,10%,59%,0%,5%,0%
21,25%,10%,58%,0%,7%,0%
20,25%,10%,56%,0%,9%,0%
19,24%,10%,55%,0%,11%,0%
18,23%,10%,53%,0%,14%,0%
17,23%,10%,51%,0%,16%,0%
16,22%,10%,49%,0%,19%,0%
15,21%,10%,48%,0%,21%,0%
14,20%,10%,46%,0%,24%,0%
13,19%,9%,45%,0%,27%,0%
12,19%,8%,44%,0%,29%,0%
11,17%,8%,43%,0%,32%,0%
10,16%,7%,42%,0%,35%,0%
9,16%,6%,41%,0%,37%,0%
8,15%,5%,40%,0%,39%,1%
7,14%,4%,39%,0%,40%,3%
6,13%,3%,37%,0%,39%,8%
5,11%,3%,33%,0%,38%,15%
4,10%,1%,29%,0%,35%,25%
3,8%,0%,23%,0%,33%,36%
2,6%,0%,17%,0%,28%,49%
1,4%,0%,11%,0%,23%,62%
0,0%,0%,0%,0%,0%,100%
