annee avant retraite,fond1,fond2,fond3,fond4,fond5,fond6
25,18%,10%,29%,13%,30%,0%
24,18%,10%,29%,13%,30%,0%
23,17%,10%,28%,12%,33%,0%
22,17%,10%,27%,12%,34%,0%
21,16%,10%,26%,12%,36%,0%
20,16%,10%,25%,12%,37%,0%
19,15%,10%,25%,11%,39%,0%
18,15%,10%,24%,11%,40%,0%
17,14%,10%,23%,11%,42%,0%
16,14%,10%,22%,11%,43%,0%
15,14%,10%,22%,10%,44%,0%
14,13%,10%,21%,10%,45%,1%
13,13%,9%,20%,9%,45%,4%
12,12%,8%,19%,9%,45%,7%
11,10%,8%,18%,8%,45%,11%
10,9%,7%,17%,7%,45%,15%
9,8%,6%,16%,6%,45%,19%
8,7%,5%,15%,6%,45%,22%
7,6%,4%,14%,5%,44%,27%
6,5%,3%,12%,4%,44%,32%
5,4%,2%,11%,3%,42%,38%
4,3%,1%,10%,2%,39%,45%
3,2%,0%,9%,2%,35%,52%
2,1%,0%,8%,1%,28%,62%
1,0%,0%,6%,0%,21%,73%
0,0%,0%,0%,0%,0%,100%
