âge,lx
0,"100,000"
1,"99,646"
2,"99,584"
3,"99,561"
4,"99,543"
5,"99,529"
6,"99,517"
7,"99,507"
8,"99,497"
9,"99,489"
10,"99,481"
11,"99,473"
12,"99,465"
13,"99,457"
14,"99,446"
15,"99,433"
16,"99,416"
17,"99,394"
18,"99,365"
19,"99,326"
20,"99,278"
21,"99,223"
22,"99,165"
23,"99,104"
24,"99,041"
25,"98,976"
26,"98,907"
27,"98,836"
28,"98,763"
29,"98,688"
30,"98,612"
31,"98,533"
32,"98,451"
33,"98,367"
34,"98,277"
35,"98,184"
36,"98,085"
37,"97,982"
38,"97,871"
39,"97,748"
40,"97,615"
41,"97,471"
42,"97,314"
43,"97,144"
44,"96,953"
45,"96,744"
46,"96,516"
47,"96,262"
48,"95,980"
49,"95,672"
50,"95,333"
51,"94,963"
52,"94,561"
53,"94,122"
54,"93,640"
55,"93,106"
56,"92,511"
57,"91,869"
58,"91,165"
59,"90,404"
60,"89,603"
61,"88,726"
62,"87,811"
63,"86,843"
64,"85,817"
65,"84,749"
66,"83,631"
67,"82,469"
68,"81,255"
69,"79,963"
70,"78,610"
71,"77,171"
72,"75,665"
73,"74,075"
74,"72,372"
75,"70,591"
76,"68,691"
77,"66,661"
78,"64,472"
79,"62,144"
80,"59,603"
81,"56,899"
82,"53,996"
83,"50,879"
84,"47,590"
85,"44,104"
86,"40,457"
87,"36,669"
88,"32,798"
89,"28,878"
90,"25,032"
91,"21,324"
92,"17,794"
93,"14,522"
94,"11,572"
95,"8,966"
96,"6,747"
97,"4,945"
98,"3,519"
99,"2,414"
100,"1,597"
101,"1,047"
102,671
103,414
104,246
